C,C,W,W,W,D,D,G,UTIL
Auston Matthews,Derek Stepan,Clayton Keller,William Nylander,Zach Hyman,Tyson Barrie,Jake Gardiner,Braden Holtby,Mike Matheson

Sean Couturier,Derek Stepan,Claude Giroux,Clayton Keller,Travis Konecny,Tyson Barrie,Mike Matheson,Roberto Luongo,Alex Goligoski

Nathan MacKinnon,Nazem Kadri,Gabriel Landeskog,Mitchell Marner,Patrick Marleau,Erik Johnson,Dmitry Orlov,Marc-Andre Fleury,Brady Skjei

Nathan MacKinnon,Derek Stepan,Mikko Rantanen,Gabriel Landeskog,Clayton Keller,Ivan Provorov,Samuel Girard,Braden Holtby,Blake Comeau

Evgeny Kuznetsov,Carl Soderberg,Alex Ovechkin,Tom Wilson,Matt Nieto,John Carlson,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson

Nathan MacKinnon,Auston Matthews,Gabriel Landeskog,William Nylander,Zach Hyman,Oliver Ekman-Larsson,Erik Johnson,Henrik Lundqvist,Alex Goligoski

Nicklas Backstrom,Derek Stepan,Clayton Keller,T.J. Oshie,Richard Panik,Shayne Gostisbehere,Tyson Barrie,Braden Holtby,Alex Goligoski

Sean Couturier,Nolan Patrick,Claude Giroux,Jakub Voracek,Travis Konecny,Keith Yandle,Oliver Ekman-Larsson,Roberto Luongo,Neal Pionk

Nicklas Backstrom,Mika Zibanejad,T.J. Oshie,Chris Kreider,Andre Burakovsky,Keith Yandle,Morgan Rielly,Marc-Andre Fleury,Jake Gardiner

Vincent Trocheck,Denis Malgin,Mikko Rantanen,Gabriel Landeskog,Jonathan Huberdeau,Keith Yandle,Jake Gardiner,Braden Holtby,Samuel Girard

Nathan MacKinnon,Nazem Kadri,Mitchell Marner,Patrick Marleau,Blake Comeau,John Carlson,Tyson Barrie,Braden Holtby,Matt Nieto

Sean Couturier,Mika Zibanejad,Claude Giroux,William Nylander,Travis Konecny,Tyson Barrie,Jake Gardiner,Henrik Lundqvist,Zach Hyman

Evgeny Kuznetsov,Sean Couturier,Alex Ovechkin,Claude Giroux,Tom Wilson,Oliver Ekman-Larsson,Dmitry Orlov,Antti Raanta,Samuel Girard

Evgeny Kuznetsov,Derek Stepan,Alex Ovechkin,Clayton Keller,Richard Panik,Morgan Rielly,Dmitry Orlov,Braden Holtby,Samuel Girard

Nathan MacKinnon,Mika Zibanejad,Mikko Rantanen,Gabriel Landeskog,Blake Comeau,Morgan Rielly,Erik Johnson,Henrik Lundqvist,Carl Soderberg

Auston Matthews,Carl Soderberg,Claude Giroux,William Nylander,Zach Hyman,John Carlson,Keith Yandle,Marc-Andre Fleury,Matt Nieto

Sean Couturier,Nicklas Backstrom,Claude Giroux,T.J. Oshie,Travis Konecny,Erik Johnson,Aaron Ekblad,Roberto Luongo,Samuel Girard

Mika Zibanejad,Nazem Kadri,Mitchell Marner,Chris Kreider,Patrick Marleau,Keith Yandle,Tyson Barrie,Marc-Andre Fleury,Tyson Jost

Evgeny Kuznetsov,Mika Zibanejad,Alex Ovechkin,Chris Kreider,Jesper Fast,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Samuel Girard

Aleksander Barkov,Mika Zibanejad,Clayton Keller,Chris Kreider,Richard Panik,Tyson Barrie,Oliver Ekman-Larsson,Henrik Lundqvist,Derek Stepan

Vincent Trocheck,Sean Couturier,Claude Giroux,Wayne Simmonds,Travis Konecny,Jake Gardiner,Mike Matheson,Braden Holtby,Jordan Weal

Nathan MacKinnon,Nicklas Backstrom,Mikko Rantanen,T.J. Oshie,Jimmy Vesey,Tyson Barrie,Brady Skjei,Marc-Andre Fleury,Andre Burakovsky

Nathan MacKinnon,Denis Malgin,Mikko Rantanen,Gabriel Landeskog,Jonathan Huberdeau,Morgan Rielly,Oliver Ekman-Larsson,Antti Raanta,Dmitry Orlov

Aleksander Barkov,Sean Couturier,Claude Giroux,Travis Konecny,Matt Nieto,John Carlson,Dmitry Orlov,Roberto Luongo,Carl Soderberg

Aleksander Barkov,Carl Soderberg,Evgenii Dadonov,Nick Bjugstad,Blake Comeau,Tyson Barrie,Oliver Ekman-Larsson,Braden Holtby,Erik Johnson

Auston Matthews,Nicklas Backstrom,Jakub Voracek,T.J. Oshie,William Nylander,Dmitry Orlov,Alex Goligoski,Braden Holtby,Zach Hyman

Nathan MacKinnon,Sean Couturier,Mikko Rantanen,Gabriel Landeskog,Ryan Spooner,Erik Johnson,Neal Pionk,Roberto Luongo,Jimmy Vesey

